id_cliente,ingreso_mensual_fijo,ingreso_mensual_variable,ingreso_mensual,gastos_esenciales_mensuales,gastos_no_escenciales_mensuales,gastos_totales_del_mes,cuotas_mensuales_deuda,ahorro_mensual,ahorro_previo,ahorro_total,ratio_ahorro_neto,ratio_endeudamiento_dti,gastos_esenciales_ratio,gastos_estilo_vida_ratio,meses_supervivencia,frecuencia_transacciones_ocio,perfil_financiero,modalidad_pago_tarjeta
USR_001,797.605,67.505,865.110,376.588,56.854,433.442,0,431.668,0,431.668,"49,90%","0,00%","43,53%","6,57%","1,146260635",4,Saludable,sin_deuda
USR_002,2.488.088,0,2.488.088,1.670.088,787.114,3.200.089,742.887,-1.454.888,0,-1.454.888,"-58,47%","29,86%","67,12%","31,64%","-0,6029436691",5,En Riesgo,parcial
USR_003,1.528.752,0,1.528.752,595.978,275.333,1.371.314,500.003,-342.565,73.844,-268.721,"-22,41%","32,71%","38,98%","18,01%","-0,2451876447",7,En Riesgo,total
USR_004,1.205.284,0,1.205.284,541.012,225.822,1.302.660,535.826,-633.202,1.522.322,889.120,"-52,54%","44,46%","44,89%","18,74%","0,825676657",8,En Riesgo,total
USR_005,507.043,0,507.043,239.746,159.208,398.954,0,108.089,199.361,307.450,"21,32%","0,00%","47,28%","31,40%","1,282398872",8,Saludable,sin_deuda
USR_006,485.547,29.409,514.956,244.996,191.280,599.103,162.827,-246.974,0,-246.974,"-47,96%","31,62%","47,58%","37,14%","-0,6055911511",8,En Riesgo,total
USR_007,547.007,486.900,1.033.907,563.661,395.805,1.040.357,80.891,-87.341,696.811,609.470,"-8,45%","7,82%","54,52%","38,28%","0,9455714977",7,En Riesgo,total
USR_008,2.032.844,24.142,2.056.986,1.393.053,518.346,1.911.399,0,145.587,835.514,981.101,"7,08%","0,00%","67,72%","25,20%","0,7042811724",9,En Observación,sin_deuda
USR_009,1.177.532,0,1.177.532,466.629,206.059,1.094.478,421.790,-338.736,1.457.073,1.118.337,"-28,77%","35,82%","39,63%","17,50%","1,258794555",9,En Riesgo,parcial
USR_010,1.484.349,0,1.484.349,517.445,483.367,1.201.899,201.087,81.363,0,81.363,"5,48%","13,55%","34,86%","32,56%","0,1132350403",10,En Observación,parcial
USR_011,0,486.900,486.900,172.384,0,172.384,0,314.516,977.751,1.292.267,"64,60%","0,00%","35,40%","0,00%","7,496443986",4,Saludable,sin_deuda
USR_012,2.455.713,104.632,2.560.345,1.676.437,633.496,2.711.685,401.752,-553.092,70.601,-482.491,"-21,60%","15,69%","65,48%","24,74%","-0,2321689702",5,En Riesgo,total
USR_013,1.506.178,0,1.506.178,840.936,264.338,1.105.274,0,400.904,610.459,1.011.363,"26,62%","0,00%","55,83%","17,55%","1,202663461",10,Saludable,sin_deuda
USR_014,799.407,10.415,809.822,335.560,226.605,649.185,87.020,73.617,677.355,750.972,"9,09%","10,75%","41,44%","27,98%","1,777112026",13,En Observación,total
USR_015,520.340,0,520.340,325.930,69.798,395.728,0,124.612,566.172,690.784,"23,95%","0,00%","62,64%","13,41%","2,119424416",13,Saludable,sin_deuda
USR_016,500.990,0,500.990,322.912,58.645,608.966,227.409,-335.385,145.387,-189.998,"-66,94%","45,39%","64,45%","11,71%","-0,345249409",7,En Riesgo,parcial
USR_017,825.672,342.497,1.168.169,745.999,433.839,1.476.004,296.166,-604.001,1.031.954,427.953,"-51,70%","25,35%","63,86%","37,14%","0,4106384306",8,En Riesgo,total
USR_018,1.215.545,0,1.215.545,811.462,104.089,1.029.764,114.213,71.568,0,71.568,"5,89%","9,40%","66,76%","8,56%","0,0773143922",6,En Observación,parcial
USR_019,834.791,31.736,866.527,347.388,196.776,544.164,0,322.363,27.563,349.926,"37,20%","0,00%","40,09%","22,71%","1,007305952",10,Saludable,sin_deuda
USR_020,808.141,5.585,813.726,489.877,103.586,593.463,0,220.263,0,220.263,"27,07%","0,00%","60,20%","12,73%","0,4496291926",8,Saludable,sin_deuda
USR_021,1.173.793,0,1.173.793,568.369,74.683,867.715,224.663,81.415,322.632,404.047,"6,94%","19,14%","48,42%","6,36%","0,5094964642",5,En Observación,total
USR_022,506.570,0,506.570,322.583,31.715,562.455,208.157,-264.042,945.562,681.520,"-52,12%","41,09%","63,68%","6,26%","1,284093907",10,En Riesgo,parcial
USR_023,845.084,0,845.084,499.780,94.081,872.532,278.671,-306.119,241.765,-64.354,"-36,22%","32,98%","59,14%","11,13%","-0,08266930096",13,En Riesgo,total
USR_024,787.892,224.100,1.011.992,617.901,357.607,1.378.403,402.895,-769.306,92.129,-677.177,"-76,02%","39,81%","61,06%","35,34%","-0,663381322",3,En Riesgo,total
USR_025,1.151.015,0,1.151.015,647.405,171.349,975.261,156.507,19.247,0,19.247,"1,67%","13,60%","56,25%","14,89%","0,02394167521",10,En Observación,parcial
USR_026,1.511.813,111.474,1.623.287,602.193,621.168,1.223.361,0,399.926,398.044,797.970,"24,64%","0,00%","37,10%","38,27%","1,325106735",1,Saludable,sin_deuda
USR_027,477.712,87.177,564.889,292.619,143.238,435.857,0,129.032,104.864,233.896,"22,84%","0,00%","51,80%","25,36%","0,7993192513",5,Saludable,sin_deuda
USR_028,1.158.415,76.815,1.235.230,857.086,250.523,1.107.609,0,127.621,0,127.621,"10,33%","0,00%","69,39%","20,28%","0,1489010438",10,En Observación,sin_deuda
USR_029,1.212.292,0,1.212.292,818.243,306.748,1.124.991,0,87.301,357.813,445.114,"7,20%","0,00%","67,50%","25,30%","0,543987544",13,En Observación,sin_deuda
USR_030,0,25.305,25.305,124.601,5.842,134.549,4.106,-113.350,0,-113.350,"-447,94%","16,23%","492,40%","23,09%","-0,8806824804",11,En Riesgo,total
USR_031,1.154.158,30.121,1.184.279,433.358,373.725,966.672,159.589,58.018,308.926,366.944,"4,90%","13,48%","36,59%","31,56%","0,6188478903",6,En Observación,total
USR_032,512.680,0,512.680,180.818,76.325,306.085,48.942,157.653,882.196,1.039.849,"30,75%","9,55%","35,27%","14,89%","4,525805188",9,Saludable,total
USR_033,470.309,0,470.309,277.667,81.630,359.297,0,111.012,0,111.012,"23,60%","0,00%","59,04%","17,36%","0,3998026413",11,Saludable,sin_deuda
USR_034,1.956.970,70.095,2.027.065,1.271.201,735.689,2.006.890,0,20.175,617.885,638.060,"1,00%","0,00%","62,71%","36,29%","0,5019347845",8,En Observación,sin_deuda
USR_035,2.522.474,0,2.522.474,972.173,961.718,1.933.891,0,588.583,0,588.583,"23,33%","0,00%","38,54%","38,13%","0,6054303092",6,Saludable,sin_deuda
USR_036,1.536.704,154.923,1.691.627,849.774,613.038,1.462.812,0,228.815,0,228.815,"13,53%","0,00%","50,23%","36,24%","0,2692657106",4,En Observación,sin_deuda
USR_037,796.540,0,796.540,506.823,156.764,927.229,263.642,-394.331,0,-394.331,"-49,51%","33,10%","63,63%","19,68%","-0,5118091023",10,En Riesgo,total
USR_038,470.384,0,470.384,278.994,151.994,430.988,0,39.396,597.051,636.447,"8,38%","0,00%","59,31%","32,31%","2,281221102",13,En Observación,sin_deuda
USR_039,1.168.017,25.468,1.193.485,616.906,258.649,1.339.836,464.281,-610.632,225.479,-385.153,"-51,16%","38,90%","51,69%","21,67%","-0,3562316232",6,En Riesgo,total
USR_040,825.880,0,825.880,442.787,185.112,627.899,0,197.981,1.057.139,1.255.120,"23,97%","0,00%","53,61%","22,41%","2,834590898",6,Saludable,sin_deuda
