id_cliente,nombre_tienda,subcategoria,monto,metodo_pago,esencial,categoria_principal
USR_391,Burger King,restaurante,21989.6,transferencia,FALSE,Alimentacion
USR_332,Inmobiliaria Sur,alquiler_y_expensas,24880.71,tarjeta_debito,TRUE,Hogar
USR_039,Shell,combustible,69998.77,transferencia,TRUE,Transporte
USR_313,Personal Flow,servicios_basicos,81936.4,transferencia,TRUE,Hogar
USR_128,Transferencia a Juan,transferencias,47475.45,tarjeta_debito,FALSE,Finanzas
USR_008,MercadoPago Transferencia,transferencias,61188.69,efectivo,FALSE,Finanzas
USR_478,Visa Pago Tarjeta,pago_tarjetas,45664.62,tarjeta_credito,TRUE,Finanzas
USR_021,Didi,taxi_y_apps,16593.85,tarjeta_debito,FALSE,Transporte
USR_071,Visa Pago Tarjeta,pago_tarjetas,23099.99,saldo_billetera,TRUE,Finanzas
USR_084,Jumbo,supermercado,6506.54,saldo_billetera,TRUE,Alimentacion
USR_174,Carga SUBE,transporte_publico,56046.63,tarjeta_debito,TRUE,Transporte
USR_069,AFIP,impuestos,76992.8,saldo_billetera,TRUE,Finanzas
USR_415,Metrogas,servicios_basicos,103937.59,efectivo,TRUE,Hogar
USR_372,Zara,indumentaria,31783.02,tarjeta_credito,FALSE,Entretenimiento
USR_105,Adidas,indumentaria,76532.5,transferencia,FALSE,Entretenimiento
USR_066,OSDE,cobertura_medica,84865.56,tarjeta_credito,TRUE,Salud
USR_103,Metrovias,transporte_publico,39396.04,tarjeta_credito,TRUE,Transporte
USR_246,YPF,combustible,70290.13,tarjeta_credito,TRUE,Transporte
USR_380,Autopistas del Sol,peajes,38308.32,saldo_billetera,TRUE,Transporte
USR_231,Centro de Estetica,cuidado_personal,32958.08,efectivo,FALSE,Entretenimiento
USR_176,Hospital Italiano,atencion_medica,119253.69,saldo_billetera,TRUE,Salud
USR_396,Cabify,taxi_y_apps,17032.66,tarjeta_debito,FALSE,Transporte
USR_267,Amex,pago_tarjetas,104847.05,tarjeta_credito,TRUE,Finanzas
USR_094,Dia%,supermercado,22043.13,efectivo,TRUE,Alimentacion
USR_340,Administracion Lopez,alquiler_y_expensas,3099.69,efectivo,TRUE,Hogar
USR_199,Peluqueria Estilos,cuidado_personal,71271.7,tarjeta_debito,FALSE,Entretenimiento
USR_337,Centro de Estetica,cuidado_personal,74090.46,tarjeta_credito,FALSE,Entretenimiento
USR_430,Antares,restaurante,85486.81,transferencia,FALSE,Alimentacion
USR_285,Metrovias,transporte_publico,90245.84,efectivo,TRUE,Transporte
USR_396,PedidosYa,delivery,65499.05,saldo_billetera,FALSE,Alimentacion
USR_141,Carga SUBE,transporte_publico,99875.42,transferencia,TRUE,Transporte
USR_247,Laboratorio,atencion_medica,103257.65,saldo_billetera,TRUE,Salud
USR_438,Autopistas del Sol,peajes,17703.47,tarjeta_debito,TRUE,Transporte
USR_394,AySA,servicios_basicos,24366.5,tarjeta_debito,TRUE,Hogar
USR_161,Farmacity,farmacia,57109.92,tarjeta_credito,TRUE,Salud
USR_381,Montagne,hobbies_y_deportes,104884.94,transferencia,FALSE,Entretenimiento
USR_193,Taller Mecanico,mantenimiento_vehicular,29251.43,saldo_billetera,TRUE,Transporte
USR_204,Transferencia a Juan,transferencias,24131.94,tarjeta_credito,FALSE,Finanzas
USR_432,Edenor,servicios_basicos,8198.2,tarjeta_credito,TRUE,Hogar
USR_113,Burger King,restaurante,100214.55,tarjeta_debito,FALSE,Alimentacion
USR_080,Coto,supermercado,98658.95,tarjeta_credito,TRUE,Alimentacion
USR_294,Vantage,farmacia,59205.12,saldo_billetera,TRUE,Salud
USR_144,Barberia,cuidado_personal,78249.7,efectivo,FALSE,Entretenimiento
USR_307,Inmobiliaria Sur,alquiler_y_expensas,102026.63,transferencia,TRUE,Hogar
USR_370,Barberia,cuidado_personal,63417.13,tarjeta_credito,FALSE,Entretenimiento
USR_477,Inmobiliaria Sur,alquiler_y_expensas,68978.08,efectivo,TRUE,Hogar
USR_231,Envio de dinero,transferencias,111253.28,saldo_billetera,FALSE,Finanzas
USR_477,Hospital Italiano,atencion_medica,5304.77,transferencia,TRUE,Salud
USR_289,Centro de Estetica,cuidado_personal,34986.7,saldo_billetera,FALSE,Entretenimiento
USR_355,Axion,combustible,30198.7,tarjeta_debito,TRUE,Transporte
USR_255,Galeno,cobertura_medica,63721.71,tarjeta_debito,TRUE,Salud
USR_176,Autopistas del Sol,peajes,65242.39,tarjeta_debito,TRUE,Transporte
USR_277,Centro de Estetica,cuidado_personal,40281.52,efectivo,FALSE,Entretenimiento
USR_270,Laboratorio,atencion_medica,84940.72,saldo_billetera,TRUE,Salud
USR_129,Levis,indumentaria,47809.96,transferencia,FALSE,Entretenimiento
USR_306,AUSA Peajes,peajes,109340.46,transferencia,TRUE,Transporte
USR_307,Taller Mecanico,mantenimiento_vehicular,16361.3,saldo_billetera,TRUE,Transporte
