id_cliente,ingreso_mensual_fijo,ingreso_mensual_variable,ingreso_mensual,gastos_esenciales_mensuales,gastos_no_esenciales_mensuales,gastos_totales_del_mes,cuotas_mensuales_deuda,ahorro_mensual,ahorro_total,ratio_ahorro_neto,ratio_endeudamiento_dti,gastos_esenciales_ratio,gastos_estilo_vida_ratio,meses_supervivencia,frecuencia_transacciones_ocio,perfil_financiero
1,1706738.96,165017.59,1871756.55,531441.18,644985.76,1176426.94,189992.5,505337.11,269288.9,0.27,1.015,2.839,3.446,0.51,32,Saludable
2,1624441.2,0.0,1624441.2,941545.24,536926.53,1478471.77,600308.47,-454339.04,0.0,-2.797,3.695,5.796,3.305,0.0,27,En Riesgo
3,1048551.14,574327.84,1622878.98,571183.17,141350.06,712533.23,449738.97,460606.78,9469757.69,2.838,2.771,352,871,16.58,24,En Observación
4,473360.44,377183.88,850544.32,579451.22,165561.86,745013.08,136455.61,-30924.37,0.0,-364,1.604,6.813,1.947,0.0,6,Saludable
5,1136277.7,0.0,1136277.7,739110.3,130741.97,869852.27,284667.42,-18241.99,0.0,-161,2.505,6.505,1.151,0.0,34,En Observación
6,1904078.96,227673.27,2131752.23,1585414.0,652315.98,2237729.98,538677.03,-644654.78,0.0,-3.024,2.527,7.437,306,0.0,20,En Observación
7,1182562.53,547881.67,1730444.2,848450.69,583446.44,1431897.13,389150.41,-90603.34,0.0,-524,2.249,4.903,3.372,0.0,35,En Observación
8,1485750.04,0.0,1485750.04,604789.85,421081.13,1025870.98,80675.43,379203.63,11091163.41,2.552,543,4.071,2.834,18.34,9,Saludable
9,1680381.29,0.0,1680381.29,677691.02,126719.37,804410.39,726392.85,149578.05,1438434.97,89,4.323,4.033,754,2.12,7,En Riesgo
10,1799762.81,0.0,1799762.81,558097.65,551419.82,1109517.47,744077.61,-53832.27,0.0,-299,4.134,3.101,3.064,0.0,32,En Riesgo
11,1976316.84,0.0,1976316.84,422628.43,593132.36,1015760.79,249510.8,711045.25,4789264.65,3.598,1.263,2.138,3.001,11.33,33,Saludable
12,2320685.69,0.0,2320685.69,1028443.02,219878.22,1248321.24,126354.64,946009.81,6649694.73,4.076,544,4.432,947,6.47,5,Saludable
13,488437.59,0.0,488437.59,93549.24,173024.55,266573.79,56109.35,165754.45,1716374.47,3.394,1.149,1.915,3.542,18.35,27,Saludable
